chain_id,chain_name,product_group_ids,default_product_group_id
141966,КОРЖ,"[27, 34]",27.0
125374,Макдоналдс,"[6, 26]",6.0
117714,Макдоналдс,"[6, 26]",6.0
84066,Subway,"[26, 29]",29.0
43706,Город-Сад,"[27, 34, 47, 48, 51]",48.0
155146,DEBATON,"[24, 27, 34]",24.0
126146,KFC,"[6, 26]",6.0
85462,Суши Мастер,"[2, 18, 51]",2.0
168694,Поль Бейкери,"[23, 29, 30, 34]",30.0
138590,Макдоналдс,"[6, 26]",6.0
152310,Советская Блинная,"[24, 43]",43.0
138582,Макдоналдс,"[6, 26]",6.0
55146,Ананас,"[1, 2, 5, 23]",1.0
134018,Макдоналдс,"[6, 26]",6.0
171942,Traveler`s coffee,[29],29.0
165874,Берег,"[30, 43]",43.0
122518,Макдоналдс,"[6, 26]",6.0
162598,Шаурма Пати,[19],19.0
141870,Макдоналдс,"[6, 26]",6.0
168758,Улус,[25],25.0
121842,FRESHROLL24,[2],2.0
117466,Макдоналдс,"[6, 26]",6.0
115430,кулинарный дом Александр,"[1, 5, 20, 30, 51]",5.0
31622,КусОк,"[1, 2, 20, 40]",1.0
168622,Блинки,[43],43.0
53638,Челентано,"[1, 3, 6, 19, 51]",1.0
61314,Три Колобка,"[3, 30, 40, 43]",40.0
65210,La Tua,"[1, 2, 23]",1.0
108614,Burger King,"[6, 26]",6.0
138554,Перчини,"[1, 23, 42]",1.0
108478,Безопасный Кекс,"[27, 34]",27.0
108490,4 samurai,"[1, 2, 6, 18]",2.0
126030,KFC,"[6, 26]",6.0
173318,Четыре стихии,"[1, 2, 5, 38]",2.0
161626,Fix Еда,[2],2.0
147106,Subway,"[26, 29]",29.0
166758,Белоснежка,"[27, 30, 43]",43.0
156238,Папа Гриль,"[6, 19, 26, 52]",19.0
123366,Шаурма не за горами,[19],19.0
170978,Восточный дворик,"[5, 20, 24, 37]",37.0
22098,Сковородка,[43],43.0
160874,Ай Эм Конфидент,"[25, 27, 34]",34.0
110218,Касуро,"[2, 40]",2.0
130298,Русская Пицца,"[1, 2]",1.0
118582,KFC,"[6, 26]",6.0
155554,AL`REZE,"[23, 42]",42.0
146770,Давай суши,"[1, 2, 40]",2.0
166070,Донер-Кебаб,[19],19.0
149094,Crazy Rice,"[1, 2, 40, 42]",1.0
123862,VAREZHKA,"[23, 29, 34]",34.0
154246,Формула Кофе,[27],27.0
175406,В Теме Вкуса,"[1, 2, 6]",2.0
95674,Огромные суши,"[1, 2, 25]",2.0
134538,Kuzina,[27],27.0
111906,Казан_мангаЛ,"[1, 5, 23]",1.0
21642,Chicago pizza,"[1, 2, 25, 40]",1.0
105646,Шатун,[5],5.0
109134,Burger King,"[6, 26]",6.0
120130,ИЧИБАН,"[2, 18, 40]",2.0
175098,ПАЛКИ-СКАЛКИ,"[1, 2, 6, 18]",2.0
160782,Traveler's Coffee,"[27, 52]",52.0
110054,MYBOX,"[2, 51]",2.0
157222,KFC,"[6, 26]",6.0
109222,Burger King,"[6, 26]",6.0
122806,Макдоналдс,"[6, 26]",6.0
113818,KOTLETA,[6],6.0
127886,Быстроном,,0.0
133994,Макдоналдс,"[6, 26]",6.0
140042,Pokewoke,"[18, 36, 48]",36.0
144698,Кардамон,"[31, 36]",36.0
59018,Мяссорти,"[2, 5]",5.0
11318,Тануки,"[2, 18, 36, 40]",40.0
64046,Жар-Пицца,"[1, 51]",1.0
136454,Кондитерская Карамель,[27],27.0
173214,Cinnabon,"[27, 30]",30.0
107830,Томат и Чеддер,"[1, 42]",1.0
163578,Чайхана Тюбетейка,"[2, 5, 27, 44]",44.0
136866,Пиццерия Джузеппе,[1],1.0
58318,Суши на Дом,"[2, 20, 40, 41]",2.0
147018,The Village,"[20, 24, 25, 27]",25.0
137098,Пышка,"[25, 30, 43]",43.0
